id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
32	academic emergency medicine	0.0544	-0.2846	9	12	14	15	714	12.0706	2012	47.6	0.8047
35	academic radiology	-0.1562	-0.2238	7	5	7	6	83	3.8679	2011.5	13.8333	0.6447
53	acta anaesthesiologica scandinavica	0.2862	-0.0624	3	6	7	11	272	4.8732	2012.2727	24.7273	0.443
70	acta neuropsychiatrica	-0.1672	0.0654	9	2	2	5	14	1.814	2018	2.8	0.3628
75	acta orthopaedica	1.0487	0.0599	2	2	2	5	274	5.2744	2012.6	54.8	1.0549
81	acta paediatrica	-0.0162	-0.6533	24	1	1	8	455	5.0437	2014.75	56.875	0.6305
83	acta psychiatrica scandinavica	-0.3996	0.3668	15	5	5	9	358	10.4692	2014.6667	39.7778	1.1632
85	acta tropica	0.7228	-0.2165	12	1	1	5	63	3.4397	2017	12.6	0.6879
88	actas urologicas espanolas	0.1131	0.3328	10	6	10	13	290	6.0092	2015.0769	22.3077	0.4622
90	acupuncture in medicine	-0.2276	-0.2902	24	7	8	7	83	1.6006	2011.2857	11.8571	0.2287
93	addiction	-0.1588	-0.0437	9	14	18	23	4018	75.2081	2013.913	174.6957	3.2699
118	advances in experimental medicine and biology	-0.3457	-0.4844	16	3	3	5	768	14.1166	2015.2	153.6	2.8233
127	advances in nutrition	-0.2845	-0.3204	7	7	7	16	191	17.4129	2018.9375	11.9375	1.0883
139	advances in therapy	-0.1418	-0.5808	6	7	7	6	10	1.21	2017.5	1.6667	0.2017
144	aesthetic plastic surgery	0.7716	0.3705	26	4	4	6	20	9.9941	2019.8333	3.3333	1.6657
145	aesthetic surgery journal	0.7528	0.3541	26	5	5	8	102	4.8944	2016.5	12.75	0.6118
163	aggression and violent behavior	-0.6451	-0.2084	1	1	1	11	399	17.7846	2015.3636	36.2727	1.6168
164	aging & mental health	-0.0473	0.0656	28	3	3	6	256	7.5453	2014.1667	42.6667	1.2575
173	aids and behavior	-1.1336	0.5927	4	3	3	7	299	7.1688	2015.7143	42.7143	1.0241
174	aids care-psychological and socio-medical aspects of aids\/hiv	-0.6324	0.2557	18	5	5	6	306	6.9525	2012.8333	51	1.1588
192	alimentary pharmacology & therapeutics	-0.0617	-0.143	22	2	2	5	189	15.6502	2015	37.8	3.13
195	allergy	-0.2299	-0.5251	6	5	5	5	624	17.5831	2014.8	124.8	3.5166
214	american journal of clinical dermatology	-0.1235	-0.1246	22	1	1	7	85	7.0006	2015	12.1429	1.0001
220	american journal of emergency medicine	0.7776	-0.1123	14	3	3	12	112	31.6176	2018.5	9.3333	2.6348
224	american journal of geriatric pharmacotherapy	-0.0515	0.2383	5	6	7	5	789	11.3015	2008.4	157.8	2.2603
